is_sarcastic,headline
1,Weight Watchers Debuts New Ad Asking If You Remember Time Grandma Said ‘Someone Got Heavy’ In Front Of Everybody
1,"‘So, It Means Making The Police Lose Their Homes And Forcing Them To Get A Divorce?’ Says Nation Still Struggling To Understand How Defunding The Police Works"
1,36-Year-Old Man Begins Outlining A Savings Plan For PS5
1,Amazon Temporarily Halts Police Use Of Facial Recognition Software Until It Can Perfect ‘Other Faces You Might Be Interested In’ Feature
1,City Enters Phase 4 Of Pretending Coronavirus Over
1,ExxonMobil Simplifies Oil Extraction By Cutting Earth In Half
1,Quaker Oats Replaces Historically Racist Aunt Jemima Mascot With Black Female Lawyer Who Enjoys Pancakes Sometimes
1,Showrunner Worried This A Bad Time For New Series About 2 Cop Best Friends Who Get Neo-Nazi Roommate
1,Anna Kendrick’s ‘Love Life’ Pulled From HBO Max Until It Can Return With Historical Context
1,South Secedes From NASCAR Following Confederate Flag Ban
1,No Way In Hell Man Going To Start Examining Relationship With Food Right Now
1,White Ally Willing To Do Whatever It Takes To Make Sure People Won’t Be Mad At Him
1,Woman On Sidewalk Can’t Even Summon Kernel Of Whimsy Required To Skip Along Hopscotch
1,37-Year-Old Worried He Might Have Missed Boat On Becoming Child Prodigy
1,Biden Flattered His 1994 Crime Bill Suddenly Starting To Receive So Much Attention
1,"‘Trump Is Finally Done, Trump Is Finally Done,’ Says Strait-Jacketed Opinion Columnist Babbling To Cup Of Applesauce"
1,Second Meal After Grocery Trip A Severe Drop-Off From First Meal After Grocery Trip
1,WHO Walks Back Claim That Covid-19 Can Only Be Transmitted Through Locking Eyes With One True Love
1,Woman Begins Defeated Slog Back Upstairs To Apartment To Retrieve Forgotten Mask
1,TV Critic Struggling To Explain Appeal Of Watching Television To Average American
